Epoch   Train_L_loss   Train_U_loss   Val_L_loss   Val_U_loss   Val_dice   Val_MSE   best_epoch
  0        0.8075         0.5742        0.0000       1.0000      0.0000     1.0000       0
  1        0.7853         0.5605        0.0000       1.0000      0.0000     1.0000       0
  2        0.8070         0.5725        0.0000       1.0000      0.0000     1.0000       0
  3        0.5453         0.5713        0.0000       1.0000      0.0000     1.0000       0
  4        0.5603         0.6891        0.0000       1.0000      0.0000     1.0000       0
  5        0.4290         0.6045        0.0000       1.0000      0.0000     1.0000       0
  6        0.6557         0.7283        0.0000       1.0000      0.0000     1.0000       0
  7        0.3718         0.7331        0.0000       1.0000      0.0000     1.0000       0
  8        0.4158         0.7017        0.0000       1.0000      0.0000     1.0000       0
  9        0.7037         0.7016        0.0000       1.0000      0.0000     1.0000       0
 10        0.4170         0.7753        0.0000       1.0000      0.0000     1.0000       0
 11        0.4908         0.7322        0.0000       1.0000      0.0000     1.0000       0
 12        0.7049         0.6947        0.0000       1.0000      0.0000     1.0000       0
 13        0.4163         0.7069        0.0000       1.0000      0.0000     1.0000       0
 14        0.4482         0.7224        0.0000       1.0000      0.0000     1.0000       0
 15        0.4421         0.7659        0.0000       1.0000      0.0000     1.0000       0
 16        0.7492         0.7393        0.0000       1.0000      0.0000     1.0000       0
 17        0.2864         0.7951        0.0000       1.0000      0.0000     1.0000       0
 18        0.4798         0.7202        0.0000       1.0000      0.0000     1.0000       0
 19        0.6173         0.6956        0.0965       0.5715      0.9035     0.5715       19
 20        0.4703         0.6567        0.0965       0.5715      0.9035     0.5715       19
 21        0.3578         0.6729        0.0965       0.5715      0.9035     0.5715       19
 22        0.4451         0.7232        0.0965       0.5715      0.9035     0.5715       19
 23        0.3226         0.8059        0.0965       0.5715      0.9035     0.5715       19
 24        0.3285         0.6156        0.0965       0.5715      0.9035     0.5715       19
 25        0.5219         0.7075        0.0965       0.5715      0.9035     0.5715       19
 26        0.1742         0.7486        0.0965       0.5715      0.9035     0.5715       19
 27        0.4263         0.9060        0.0965       0.5715      0.9035     0.5715       19
 28        0.2612         0.7619        0.0965       0.5715      0.9035     0.5715       19
 29        0.1265         0.8091        0.0965       0.5715      0.9035     0.5715       19
 30        0.1927         0.8397        0.0965       0.5715      0.9035     0.5715       19
 31        0.3714         0.9301        0.0965       0.5715      0.9035     0.5715       19
 32        0.2264         0.9154        0.0965       0.5715      0.9035     0.5715       19
 33        0.4570         0.6731        0.0965       0.5715      0.9035     0.5715       19
 34        0.4420         0.7356        0.0965       0.5715      0.9035     0.5715       19
 35        0.6121         0.6937        0.0965       0.5715      0.9035     0.5715       19
 36        0.1291         0.6644        0.0965       0.5715      0.9035     0.5715       19
 37        0.4241         0.7055        0.0965       0.5715      0.9035     0.5715       19
 38        0.4372         0.7650        0.0965       0.5715      0.9035     0.5715       19
 39        0.3396         0.8487        0.0427       0.5664      0.9573     0.5664       39
 40        0.3098         0.7715        0.0427       0.5664      0.9573     0.5664       39
 41        0.7667         0.8254        0.0427       0.5664      0.9573     0.5664       39
 42        0.2080         0.7508        0.0427       0.5664      0.9573     0.5664       39
 43        0.5377         0.7452        0.0427       0.5664      0.9573     0.5664       39
 44        0.3001         0.7321        0.0427       0.5664      0.9573     0.5664       39
 45        0.6600         0.7516        0.0427       0.5664      0.9573     0.5664       39
 46        0.3891         0.6984        0.0427       0.5664      0.9573     0.5664       39
 47        0.4183         0.8109        0.0427       0.5664      0.9573     0.5664       39
 48        0.4347         0.7663        0.0427       0.5664      0.9573     0.5664       39
 49        0.5659         0.7098        0.0427       0.5664      0.9573     0.5664       39
 50        0.1707         0.7433        0.0427       0.5664      0.9573     0.5664       39
 51        0.1195         0.7317        0.0427       0.5664      0.9573     0.5664       39
 52        0.1580         0.7269        0.0427       0.5664      0.9573     0.5664       39
 53        0.3481         0.7078        0.0427       0.5664      0.9573     0.5664       39
 54        0.4736         0.7189        0.0427       0.5664      0.9573     0.5664       39
 55        0.5935         0.6757        0.0427       0.5664      0.9573     0.5664       39
 56        0.2149         0.8278        0.0427       0.5664      0.9573     0.5664       39
 57        0.4998         0.6722        0.0427       0.5664      0.9573     0.5664       39
 58        0.2598         0.7987        0.0427       0.5664      0.9573     0.5664       39
 59        0.3710         0.7732        0.0041       0.5594      0.9959     0.5594       59
 60        0.6281         0.6863        0.0041       0.5594      0.9959     0.5594       59
 61        0.2857         0.7871        0.0041       0.5594      0.9959     0.5594       59
 62        0.4803         0.8079        0.0041       0.5594      0.9959     0.5594       59
 63        0.2146         0.7178        0.0041       0.5594      0.9959     0.5594       59
 64        0.5642         0.8640        0.0041       0.5594      0.9959     0.5594       59
 65        0.2251         0.7580        0.0041       0.5594      0.9959     0.5594       59
 66        0.3338         0.7195        0.0041       0.5594      0.9959     0.5594       59
 67        0.4105         0.7071        0.0041       0.5594      0.9959     0.5594       59
 68        0.4414         0.7369        0.0041       0.5594      0.9959     0.5594       59
 69        0.7067         0.7811        0.0041       0.5594      0.9959     0.5594       59
 70        0.2411         0.8454        0.0041       0.5594      0.9959     0.5594       59
 71        0.2222         0.7271        0.0041       0.5594      0.9959     0.5594       59
 72        0.1192         0.7977        0.0041       0.5594      0.9959     0.5594       59
 73        0.2199         0.6739        0.0041       0.5594      0.9959     0.5594       59
 74        0.3098         0.6594        0.0041       0.5594      0.9959     0.5594       59
 75        0.3104         0.8070        0.0041       0.5594      0.9959     0.5594       59
 76        0.3001         0.7564        0.0041       0.5594      0.9959     0.5594       59
 77        0.6183         0.7624        0.0041       0.5594      0.9959     0.5594       59
 78        0.2934         0.6672        0.0041       0.5594      0.9959     0.5594       59
 79        0.1446         0.6752        -0.0051       0.5543      1.0051     0.5543       79
 80        0.2672         0.7640        -0.0051       0.5543      1.0051     0.5543       79
 81        0.3320         0.6769        -0.0051       0.5543      1.0051     0.5543       79
 82        0.3340         0.7443        -0.0051       0.5543      1.0051     0.5543       79
 83        0.2612         0.8643        -0.0051       0.5543      1.0051     0.5543       79
 84        0.2456         0.7021        -0.0051       0.5543      1.0051     0.5543       79
 85        0.3817         0.7979        -0.0051       0.5543      1.0051     0.5543       79
 86        0.1225         0.7563        -0.0051       0.5543      1.0051     0.5543       79
 87        0.4056         0.7466        -0.0051       0.5543      1.0051     0.5543       79
 88        0.0537         0.7795        -0.0051       0.5543      1.0051     0.5543       79
